"Number","Priority","Ticket_Status","Updated","Date_Delivery","Date_Last_Modif","Date_End_Hour","Date_Happening_Hour"
"TCK2464267","2 - High","Closed","06-06-2020 11:00:13",,"24-04-2020 16:05:30","24-04-2020 16:05:30","24-04-2020 15:44:35"
"TCK2372835","3 - Medium","Closed","12-04-2020 16:00:05",,"03-02-2020 13:32:49","03-02-2020 13:32:49","23-01-2020 08:30:49"
"TCK2477023","3 - Medium","Closed","27-06-2020 14:00:10",,"18-05-2020 10:17:09","18-05-2020 10:17:11","12-05-2020 13:38:47"
"TCK2464394","3 - Medium","Closed","08-06-2020 13:00:07",,"27-04-2020 08:49:07","27-04-2020 08:49:08","24-04-2020 17:43:13"
"TCK2520005","3 - Medium","Closed","09-08-2020 09:00:08",,"29-06-2020 14:22:24","29-06-2020 14:22:24","24-06-2020 11:53:35"
"TCK2526496","2 - High","Closed","18-08-2020 18:00:09",,"30-06-2020 10:04:55","06-07-2020 15:39:09","30-06-2020 09:51:48"
"TCK2518888","3 - Medium","Closed","04-08-2020 16:00:08",,"25-06-2020 13:50:25","25-06-2020 13:50:25","23-06-2020 15:42:14"
"TCK2425626","3 - Medium","Closed","21-04-2020 17:00:07",,"12-03-2020 14:34:06","12-03-2020 14:34:06","11-03-2020 11:15:24"
"TCK2536641","3 - Medium","Closed","08-09-2020 18:00:11",,"20-07-2020 15:38:04","20-07-2020 15:38:04","07-07-2020 16:07:24"
"TCK2530964","3 - Medium","Closed","13-08-2020 10:00:05",,"02-07-2020 15:06:14","02-07-2020 15:06:14","02-07-2020 14:01:51"
"TCK2482013","2 - High","Closed","27-06-2020 16:00:18",,"18-05-2020 12:05:30","18-05-2020 12:05:31","18-05-2020 10:00:26"
